"id","name_id","name_en","brand","sku","price","img","badge","vehicles","compat_id","compat_en"
"1003043","BEARING 6303 -DDU","BEARING 6303 -DDU","NSK","1003043","75000","","aftermarket","","",""
"1003045","SOKBEKER KYKA-2006Z","SOKBEKER KYKA-2006Z","KYB","1003045","525000","","aftermarket","","",""
"1003046","DELTALUBE SAE 10W-40","DELTALUBE SAE 10W-40","DELTALUBE","1003046","80000","","aftermarket","","",""
"1003047","GENUINE-R OIL PLUS","GENUINE-R OIL PLUS","ASTRA INTERNATONAL","1003047","80000","","aftermarket","","",""
"1003048","BEARING ZA-TK70-1A1 ENCS 301","BEARING ZA-TK70-1A1 ENCS 301","NSK","1003048","425000","","aftermarket","","",""
"1003049","BEARING HR30213J","BEARING HR30213J","NSK","1003049","450000","","aftermarket","","",""
"1003050","SOKBEKER PS190/220FR","SOKBEKER PS190/220FR","IKYBI","1003050","450000","","aftermarket","","",""
"1003051","SOKBEKER 17-67001200-A","SOKBEKER 17-67001200-A","ISUZU","1003051","350000","","original","","",""
"1003052","SOKBEKER BLK NKR ALL 17-67201200-A","SOKBEKER BLK NKR ALL 17-67201200-A","ISUZU","1003052","350000","","original","","",""
"1003053","SOKBEKER 18-97695430-A","SOKBEKER 18-97695430-A","ISUZU","1003053","350000","","original","","",""
"1003054","BEARING MB161132W/30211","BEARING MB161132W/30211","WTB","1003054","350000","","aftermarket","","",""
"1003055","REVOL 2T","REVOL 2T","PETROASIA","1003055","35000","","aftermarket","","",""
"1003056","BEARING MR 385717","BEARING MR 385717","NKN","1003056","60000","","aftermarket","","",""
"1003057","BEARING HR 32212 J 22-40","BEARING HR 32212 J 22-40","NSK","1003057","380000","","aftermarket","","",""
"1003058","BEARING 28985/20","BEARING 28985/20","KOYO","1003058","350000","","aftermarket","","",""
"1003059","REXI CAR CHARGER ","REXI CAR CHARGER ","REXI","1003059","65000","","aftermarket","","",""
"1003060","AUTO LIGHTER ","AUTO LIGHTER ","STANLEY","1003060","35000","","aftermarket","","",""
"1003061","C/M KIT 5/8"" DUTRO/DINA 210-46691","C/M KIT 5/8"" DUTRO/DINA 210-46691","SEIKEN","1003061","150000","","aftermarket","","",""
"1003062","C/M KIT 5/8'' PS 190 ME 633419","C/M KIT 5/8'' PS 190 ME 633419","UTM","1003062","125000","","aftermarket","","",""
"1003063","C/M KIT NKR 55 5-87831403-1","C/M KIT NKR 55 5-87831403-1","ISUZU","1003063","105000","","original","","",""
"1003064","MASTER KOPILING C/M","MASTER KOPILING C/M","SEIKEN","1003064","125000","","aftermarket","","",""
"1003065","C/M KIT DUTRO BESI 210-44191","C/M KIT DUTRO BESI 210-44191","SEIKEN","1003065","125000","","aftermarket","","",""
"1003066","C/M  KIT DUTRO 04311-25020","C/M  KIT DUTRO 04311-25020","TOYOTA","1003066","95000","","original","","",""
"1003067","C/M KIT NKR 71 5-87831597-0","C/M KIT NKR 71 5-87831597-0","ISUZU","1003067","115000","","original","","",""
"1003068","C/M KIT L 300 DISEL 210-31152","C/M KIT L 300 DISEL 210-31152","SEIKEN","1003068","95000","","aftermarket","","",""
"1003069","C/M KIT PS 125 210-32672","C/M KIT PS 125 210-32672","SEIKEN","1003069","95000","","aftermarket","","",""
"1003070","C/M KIT CANTER 125 7/8"" ME 509766","C/M KIT CANTER 125 7/8"" ME 509766","UTM","1003070","125000","","aftermarket","","",""
"1003071","C/M KIT CANTER PS 135 B-MKC-S03","C/M KIT CANTER PS 135 B-MKC-S03","BIRKENS","1003071","95000","","aftermarket","","",""
"1003072","C/M KIT CANTER PS 135 ME043537","C/M KIT CANTER PS 135 ME043537","MITSHUBISI TIGA BERLIAN","1003072","95000","","aftermarket","","",""
"1003073","C/M KIT L 300 PS 100/120 B-MKC-S01","C/M KIT L 300 PS 100/120 B-MKC-S01","BIRKENS","1003073","95000","","aftermarket","","",""
"1003074","C/M 3/4''","C/M 3/4''","SEIKEN","1003074","150000","","aftermarket","","",""
"1003075","C/M 3/4'' HINO 210-80833","C/M 3/4'' HINO 210-80833","SEIKEN","1003075","295000","","aftermarket","","",""
